,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9497652582159625,0.8741573033707866,0.884090909090909,0.8790960451977401,0.96973293768546
1,SB,0.9737089201877934,0.9922879177377892,0.9391727493917275,0.965,0.9630177514792899
2,SR,0.9615023474178404,0.8449438202247191,0.9665809768637532,0.9016786570743405,0.9922848664688427
3,GSVT,0.9478873239436619,0.8982683982683982,0.8663883089770354,0.8820403825717321,0.9616306954436451
4,macro avg,,0.9069537712109532,0.9140582360808562,0.9024143599004233,0.9716665627693095
5,micro avg,,0.9164319248826291,0.9164319248826291,0.9164319248826291,0.9721439749608763
6,weighted avg,,0.9158297649104301,0.9176041253633704,0.9164319248826291,0.9702343261946085
