,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9488262910798122,0.9483146067415731,0.8307086614173228,0.8856243441762853,0.9489614243323442
1,SB,0.9723004694835681,0.9730077120822622,0.9522012578616352,0.9624920534011443,0.9718934911242604
2,SR,0.9629107981220657,0.898876404494382,0.9216589861751152,0.9101251422070534,0.9798219584569733
3,GSVT,0.9497652582159625,0.8095238095238095,0.9516539440203562,0.8748538011695906,0.9886091127098321
4,macro avg,,0.9082738352385185,0.9140557123686073,0.9074306332105067,0.9723214966558524
5,micro avg,,0.9169014084507042,0.9169014084507042,0.9169014084507042,0.9723004694835681
6,weighted avg,,0.9164834718906231,0.9203193915175547,0.9169014084507042,0.9723845781727057
