,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9605633802816902,0.903370786516854,0.90744920993228,0.9054054054054055,0.9756676557863502
1,SB,0.9812206572769953,0.9820051413881749,0.9670886075949368,0.9744897959183675,0.9807692307692307
2,SR,0.9751173708920188,0.9213483146067416,0.9579439252336449,0.9392898052691867,0.9893175074183976
3,GSVT,0.960093896713615,0.9155844155844156,0.9019189765458422,0.9087003222341568,0.9724220623501199
4,macro avg,,0.931971332206779,0.933600179826676,0.9305771645240466,0.9795441140810246
5,micro avg,,0.9384976525821597,0.9384976525821597,0.9384976525821597,0.9794992175273866
6,weighted avg,,0.9384328539187153,0.938582839916374,0.9384976525821597,0.9796788037419388
