,Rhythm Group,ACC,F1-score,Precision,Recall,specificity,Feature,Time
0,AFIB,0.9492957746478873,0.8719101123595505,0.8838268792710706,0.8778280542986425,0.96973293768546,,
1,SB,0.9741784037558685,0.9922879177377892,0.9403166869671132,0.965603502188868,0.9637573964497042,,
2,SR,0.9629107981220657,0.8539325842696629,0.9644670050761421,0.9058402860548271,0.9916913946587537,,
3,GSVT,0.9474178403755869,0.8939393939393939,0.8676470588235294,0.8805970149253731,0.9622302158273381,,
4,macro avg,,0.9074672143669277,0.9140644075344638,0.9030175020765991,0.971852986155314,,
5,micro avg,,0.9169014084507042,0.9169014084507042,0.9169014084507042,0.9723004694835681,,
6,weighted avg,,0.9163416699792281,0.9177981700335186,0.9169014084507042,0.9705105361705517,81.0,297.1817133000004
