,Rhythm Group,ACC,F1-score,Precision,Recall,specificity,Feature,Time
0,AFIB,0.9666666666666667,0.9213483146067416,0.9192825112107623,0.920314253647587,0.9786350148367953,,
1,SB,0.9835680751173709,0.980719794344473,0.9744572158365262,0.9775784753363229,0.985207100591716,,
2,SR,0.9807511737089202,0.9348314606741573,0.9719626168224299,0.9530355097365407,0.9928783382789318,,
3,GSVT,0.9666666666666667,0.935064935064935,0.9133192389006343,0.9240641711229945,0.9754196642685852,,
4,macro avg,,0.9437481024608612,0.9447553956925883,0.9429911261725767,0.983035029494007,,
5,micro avg,,0.9488262910798122,0.9488262910798122,0.9488262910798122,0.9829420970266041,,
6,weighted avg,,0.9488799744490233,0.9491480207829488,0.9488262910798122,0.9833138268962158,51.0,104.22515990000102
