,Rhythm Group,ACC,F1-score,Precision,Recall,specificity,Feature,Time
0,AFIB,0.9535211267605633,0.8786516853932584,0.8967889908256881,0.887627695800227,0.973293768545994,,
1,SB,0.9737089201877934,0.9845758354755784,0.945679012345679,0.9647355163727959,0.9674556213017751,,
2,SR,0.9624413145539906,0.8606741573033708,0.9551122194513716,0.905437352245863,0.9893175074183976,,
3,GSVT,0.956338028169014,0.922077922077922,0.8819875776397516,0.9015873015873016,0.9658273381294964,,
4,macro avg,,0.9148469665015468,0.9198919500656225,0.9114949000625323,0.9739735588489158,,
5,micro avg,,0.9230046948356807,0.9230046948356807,0.9230046948356807,0.9743348982785602,,
6,weighted avg,,0.9225406157051073,0.9236209253745516,0.9230046948356807,0.9728895405599824,56.0,255.74753799999962
