,Rhythm Group,ACC,F1-score,Precision,Recall,specificity,Feature,Time
0,AFIB,0.9455399061032864,0.8539325842696629,0.8816705336426914,0.8675799086757991,0.96973293768546,,
1,SB,0.9694835680751174,0.9884318766066839,0.9321212121212121,0.959451029320025,0.9585798816568047,,
2,SR,0.9633802816901409,0.8426966292134831,0.97911227154047,0.9057971014492754,0.9952522255192878,,
3,GSVT,0.9535211267605633,0.9242424242424242,0.869653767820774,0.8961175236096538,0.9616306954436451,,
4,macro avg,,0.9072363907636882,0.9156394462812869,0.9023258785830636,0.9712989350762995,,
5,micro avg,,0.915962441314554,0.915962441314554,0.915962441314554,0.9719874804381846,,
6,weighted avg,,0.9153107822649282,0.9178491512065763,0.915962441314554,0.9692332989906436,212.0,457.22012630000006
