,Rhythm Group,ACC,F1-score,Precision,Recall,specificity,Feature,Time
0,AFIB,0.9624413145539906,0.9123595505617977,0.9082774049217002,0.9103139013452913,0.9756676557863502,,
1,SB,0.9821596244131455,0.9832904884318766,0.9683544303797469,0.975765306122449,0.981508875739645,,
2,SR,0.9746478873239437,0.9213483146067416,0.9557109557109557,0.9382151029748285,0.9887240356083086,,
3,GSVT,0.9624413145539906,0.9155844155844156,0.9116379310344828,0.9136069114470842,0.9754196642685852,,
4,macro avg,,0.9344753054724132,0.9359951805117214,0.9331456922962079,0.9803300578507222,,
5,micro avg,,0.9408450704225352,0.9408450704225352,0.9408450704225352,0.9802816901408451,,
6,weighted avg,,0.9407639474996581,0.9408597612464347,0.9408450704225352,0.9804751609803535,51.0,640.3733571999983
