,Rhythm Group,ACC,F1-score,Precision,Recall,specificity,Feature,Time
0,AFIB,0.952112676056338,0.8741573033707866,0.8942528735632184,0.884090909090909,0.9727002967359051,,
1,SB,0.9751173708920188,0.9910025706940874,0.9436964504283966,0.966771159874608,0.9659763313609467,,
2,SR,0.9657276995305164,0.8606741573033708,0.9720812182741116,0.9129916567342073,0.9934718100890207,,
3,GSVT,0.955868544600939,0.922077922077922,0.8801652892561983,0.9006342494714588,0.9652278177458034,,
4,macro avg,,0.9161219937927958,0.9225489578804813,0.9119779883615418,0.9743440639829191,,
5,micro avg,,0.9244131455399061,0.9244131455399061,0.9244131455399061,0.9748043818466353,,
6,weighted avg,,0.9239167734415192,0.9255168417545859,0.9244131455399061,0.9729631103917697,81.0,339.08532449999984
