,Rhythm Group,ACC,F1-score,Precision,Recall,specificity,Feature,Time
0,AFIB,0.9516431924882629,0.8606741573033708,0.9033018867924528,0.8814729574223245,0.9756676557863502,,
1,SB,0.9798122065727699,0.9897172236503856,0.9565217391304348,0.9728363866077069,0.974112426035503,,
2,SR,0.9661971830985916,0.8674157303370786,0.9674185463659147,0.9146919431279621,0.9922848664688427,,
3,GSVT,0.9539906103286385,0.9372294372294372,0.8625498007968128,0.8983402489626556,0.9586330935251799,,
4,macro avg,,0.9168353840301623,0.9224479932714038,0.913759137130068,0.975174510453969,,
5,micro avg,,0.9258215962441314,0.9258215962441314,0.9258215962441314,0.9752738654147105,,
6,weighted avg,,0.9254428565945636,0.927296954820225,0.9258215962441314,0.9748764455717442,138.0,414.28108319999956
