,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9483568075117371,0.8561797752808988,0.892271662763466,0.8738532110091742,0.9727002967359051
1,SB,0.9746478873239437,0.987146529562982,0.9458128078817734,0.9660377358490566,0.9674556213017751
2,SR,0.9657276995305164,0.8651685393258427,0.9673366834170855,0.9134045077105576,0.9922848664688427
3,GSVT,0.9525821596244132,0.9242424242424242,0.8661257606490872,0.894240837696335,0.960431654676259
4,macro avg,,0.9118840730662809,0.917886728677853,0.9081843171030369,0.9732181097956956
5,micro avg,,0.9206572769953052,0.9206572769953052,0.9206572769953052,0.9735524256651017
6,weighted avg,,0.920209535369274,0.9218395211278138,0.9206572769953052,0.9722151621874767
