,Rhythm Group,ACC,F1-score,Precision,Recall,specificity,Feature,Time
0,AFIB,0.9596244131455399,0.9123595505617977,0.8962472406181016,0.9042316258351893,0.972106824925816,,
1,SB,0.9798122065727699,0.9820051413881749,0.9634300126103404,0.9726288987905793,0.9785502958579881,,
2,SR,0.9737089201877934,0.9123595505617977,0.9598108747044918,0.935483870967742,0.9899109792284867,,
3,GSVT,0.9610328638497653,0.9090909090909091,0.911062906724512,0.9100758396533045,0.9754196642685852,,
4,macro avg,,0.9306050588117036,0.9326377586643615,0.9289537879006698,0.978996941070219,,
5,micro avg,,0.9370892018779343,0.9370892018779343,0.9370892018779343,0.9790297339593115,,
6,weighted avg,,0.9370111348620664,0.9372795652751753,0.9370892018779343,0.9788985624029416,81.0,271.917644000001
