,Rhythm Group,ACC,F1-score,Precision,Recall,specificity,Feature,Time
0,AFIB,0.9474178403755869,0.8651685393258427,0.8810068649885584,0.873015873015873,0.9691394658753709,,
1,SB,0.9741784037558685,0.9910025706940874,0.9413919413919414,0.965560425798372,0.9644970414201184,,
2,SR,0.9619718309859155,0.851685393258427,0.9619289340101523,0.9034564958283672,0.9910979228486647,,
3,GSVT,0.9446009389671362,0.8917748917748918,0.8583333333333333,0.8747346072186837,0.9592326139088729,,
4,macro avg,,0.9041918504653239,0.9106652684309964,0.8999078487633123,0.9709917610132568,,
5,micro avg,,0.9140845070422535,0.9140845070422535,0.9140845070422535,0.9713615023474178,,
6,weighted avg,,0.9135509877661278,0.9150513431724678,0.9140845070422535,0.9698825370107733,102.0,278.1814416999987
