,Rhythm Group,ACC,F1-score,Precision,Recall,specificity,Feature,Time
0,AFIB,0.9685446009389671,0.9146067415730337,0.9334862385321101,0.9239500567536889,0.9827893175074184,,
1,SB,0.9882629107981221,0.9858611825192802,0.9820742637644047,0.9839640795381656,0.9896449704142012,,
2,SR,0.9816901408450704,0.9438202247191011,0.967741935483871,0.955631399317406,0.9916913946587537,,
3,GSVT,0.9666666666666667,0.9415584415584416,0.9081419624217119,0.924548352816153,0.973621103117506,,
4,macro avg,,0.9470234721063534,0.9478611000505244,0.9464616475924641,0.9844366964244698,,
5,micro avg,,0.9525821596244132,0.9525821596244132,0.9525821596244132,0.9841940532081377,,
6,weighted avg,,0.9526193149452549,0.9528929114012439,0.9525821596244132,0.9851646260734661,212.0,153.17920830000003
