,Rhythm Group,ACC,F1-score,Precision,Recall,specificity,Feature,Time
0,AFIB,0.9497652582159625,0.952808988764045,0.8313725490196079,0.8879581151832461,0.9489614243323442,,
1,SB,0.9755868544600939,0.9768637532133676,0.9571788413098237,0.9669211195928753,0.9748520710059172,,
2,SR,0.9633802816901409,0.8966292134831461,0.925754060324826,0.910958904109589,0.9810089020771513,,
3,GSVT,0.9497652582159625,0.8116883116883117,0.9493670886075949,0.8751458576429406,0.988009592326139,,
4,macro avg,,0.9102459991321628,0.915918134815463,0.9094975667872176,0.973207997435388,,
5,micro avg,,0.9192488262910798,0.9192488262910798,0.9192488262910798,0.9730829420970266,,
6,weighted avg,,0.9188263337369047,0.922635715790622,0.9192488262910798,0.9735831634504719,102.0,218.14726599999995
