,Rhythm Group,ACC,F1-score,Precision,Recall,specificity,Feature,Time
0,AFIB,0.9502347417840376,0.8786516853932584,0.8826185101580135,0.8806306306306306,0.9691394658753709,,
1,SB,0.9746478873239437,0.9910025706940874,0.9425427872860636,0.9661654135338346,0.9652366863905325,,
2,SR,0.9619718309859155,0.8539325842696629,0.9595959595959596,0.9036860879904874,0.9905044510385757,,
3,GSVT,0.9478873239436619,0.8917748917748918,0.8710359408033826,0.8812834224598931,0.9634292565947242,,
4,macro avg,,0.9079413886537114,0.9139482994608548,0.903840433032975,0.9720774649748009,,
5,micro avg,,0.9173708920187793,0.9173708920187793,0.9173708920187793,0.9724569640062598,,
6,weighted avg,,0.9168312547850663,0.9180762123005815,0.9173708920187793,0.9709389678804239,116.0,296.33336269999927
