,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9469483568075118,0.8629213483146068,0.8807339449541285,0.8717366628830875,0.9691394658753709
1,SB,0.9746478873239437,0.9845758354755784,0.948019801980198,0.9659520807061791,0.9689349112426036
2,SR,0.964319248826291,0.8674157303370786,0.9578163771712159,0.9103773584905661,0.9899109792284867
3,GSVT,0.9525821596244132,0.9134199134199135,0.8737060041407867,0.8931216931216931,0.9634292565947242
4,macro avg,,0.9102969488003815,0.9150690320615823,0.9070832068867942,0.9728536532352964
5,micro avg,,0.9192488262910798,0.9192488262910798,0.9192488262910798,0.9730829420970266
6,weighted avg,,0.9188608828746035,0.9198903630044206,0.9192488262910798,0.9721657866501054
