,Rhythm Group,ACC,F1-score,Precision,Recall,specificity,Feature,Time
0,AFIB,0.8338028169014085,0.3550561797752809,0.7022222222222222,0.4716417910447762,0.9602373887240356,,
1,SB,0.7568075117370892,0.5308483290488432,0.7296819787985865,0.6145833333333333,0.8868343195266272,,
2,SR,0.6380281690140845,0.7573033707865169,0.337,0.46643598615916954,0.6065281899109792,,
3,GSVT,0.8230046948356807,0.4588744588744589,0.6253687315634219,0.529338327091136,0.9238609112709832,,
4,macro avg,,0.5204998594071037,0.5985682331460577,0.5255205846212749,0.8443652023581563,,
5,micro avg,,0.5258215962441315,0.5258215962441315,0.5258215962441315,0.8419405320813772,,
6,weighted avg,,0.5352792259648798,0.6192801982988215,0.5258215962441315,0.8516392131884938,138.0,2.5092263000005914
