,Rhythm Group,ACC,F1-score,Precision,Recall,specificity,Feature,Time
0,AFIB,0.9497652582159625,0.8786516853932584,0.8806306306306306,0.8796400449943756,0.9685459940652819,,
1,SB,0.9737089201877934,0.9922879177377892,0.9391727493917275,0.965,0.9630177514792899,,
2,SR,0.9619718309859155,0.851685393258427,0.9619289340101523,0.9034564958283672,0.9910979228486647,,
3,GSVT,0.9483568075117371,0.8896103896103896,0.874468085106383,0.8819742489270387,0.9646282973621103,,
4,macro avg,,0.9075176974374454,0.9140500997847234,0.903058846499966,0.9718224914388367,,
5,micro avg,,0.9169014084507042,0.9169014084507042,0.9169014084507042,0.9723004694835681,,
6,weighted avg,,0.9163004993757805,0.9176618124934559,0.9169014084507042,0.9703885573046427,73.0,275.1216717999996
