,Rhythm Group,ACC,F1-score,Precision,Recall,specificity,Feature,Time
0,AFIB,0.8014084507042254,0.30337078651685395,0.5443548387096774,0.3896103896103897,0.9329376854599406,,
1,SB,0.952112676056338,0.9640102827763496,0.9101941747572816,0.9363295880149812,0.9452662721893491,,
2,SR,0.8647887323943662,0.8539325842696629,0.6301824212271974,0.7251908396946564,0.8676557863501484,,
3,GSVT,0.8812206572769953,0.7186147186147186,0.7296703296703296,0.7241003271537622,0.9262589928057554,,
4,macro avg,,0.6938077861184474,0.7036004410911215,0.7099820930443962,0.9180296842012985,,
5,micro avg,,0.7497652582159624,0.7497652582159624,0.7497652582159624,0.9165884194053208,,
6,weighted avg,,0.7319649378692202,0.7361069675778247,0.7497652582159624,0.922353478589231,56.0,1.584071599998424
