,Rhythm Group,ACC,F1-score,Precision,Recall,specificity,Feature,Time
0,AFIB,0.9666666666666667,0.9123595505617977,0.9269406392694064,0.9195922989807473,0.9810089020771513,,
1,SB,0.9863849765258216,0.9820051413881749,0.9807445442875481,0.9813744380218369,0.988905325443787,,
2,SR,0.9793427230046948,0.9370786516853933,0.9630484988452656,0.949886104783599,0.9905044510385757,,
3,GSVT,0.9661971830985916,0.9415584415584416,0.90625,0.9235668789808917,0.9730215827338129,,
4,macro avg,,0.9436049301917688,0.944245920600555,0.9432504462984518,0.9833600653233318,,
5,micro avg,,0.9492957746478873,0.9492957746478873,0.9492957746478873,0.9830985915492958,,
6,weighted avg,,0.94934981246258,0.949648789632273,0.9492957746478873,0.9841444866454395,116.0,192.8652043000002
