,Rhythm Group,ACC,F1-score,Precision,Recall,specificity,Feature,Time
0,AFIB,0.915962441314554,0.8359550561797753,0.7782426778242678,0.8060671722643553,0.9370919881305638,,
1,SB,0.955868544600939,0.9370179948586118,0.9418604651162791,0.9394329896907218,0.966715976331361,,
2,SR,0.8615023474178404,0.5910112359550562,0.699468085106383,0.6406820950060902,0.9329376854599406,,
3,GSVT,0.8469483568075117,0.6904761904761905,0.6354581673306773,0.6618257261410787,0.8902877697841727,,
4,macro avg,,0.7620019957755614,0.7637573488444018,0.7636151193674086,0.9317583549265095,,
5,micro avg,,0.7901408450704225,0.7901408450704225,0.7901408450704225,0.9300469483568075,,
6,weighted avg,,0.7889416785877502,0.7905776547752947,0.7901408450704225,0.9368925746356156,81.0,1.9887541000025521
