,Rhythm Group,ACC,F1-score,Precision,Recall,specificity,Feature,Time
0,AFIB,0.82018779342723,0.5955056179775281,0.5662393162393162,0.5805038335158816,0.8795252225519288,,
1,SB,0.903755868544601,0.8804627249357326,0.8594730238393977,0.8698412698412699,0.9171597633136095,,
2,SR,0.8910798122065727,0.7775280898876404,0.7223382045929019,0.748917748917749,0.9210682492581602,,
3,GSVT,0.8995305164319248,0.6861471861471862,0.8212435233160622,0.7476415094339623,0.9586330935251799,,
4,macro avg,,0.7367260904272157,0.7423235169969196,0.7349109047370218,0.9190965821622196,,
5,micro avg,,0.7572769953051643,0.7572769953051643,0.7572769953051643,0.9190923317683881,,
6,weighted avg,,0.7576241734638329,0.7612683178823517,0.7572769953051643,0.919109333343714,116.0,2.5366816999994626
