,Rhythm Group,ACC,F1-score,Precision,Recall,specificity,Feature,Time
0,AFIB,0.8173708920187793,0.48764044943820223,0.5740740740740741,0.5273390036452005,0.9044510385756677,,
1,SB,0.7859154929577464,0.7390745501285347,0.6944444444444444,0.7160647571606475,0.8128698224852071,,
2,SR,0.7502347417840376,0.6067415730337079,0.430622009569378,0.5037313432835822,0.7881305637982196,,
3,GSVT,0.8126760563380282,0.38961038961038963,0.6060606060606061,0.4743083003952569,0.9298561151079137,,
4,macro avg,,0.5553608511211717,0.5763002835371257,0.5557667405527086,0.858826884991752,,
5,micro avg,,0.5830985915492958,0.5830985915492958,0.5830985915492958,0.8610328638497653,,
6,weighted avg,,0.5798380846182634,0.5950082323939503,0.5830985915492958,0.8522089484177121,61.0,1.6793137000022398
