,Rhythm Group,ACC,F1-score,Precision,Recall,specificity,Feature,Time
0,AFIB,0.9610328638497653,0.9168539325842696,0.8986784140969163,0.9076751946607341,0.9727002967359051,,
1,SB,0.9826291079812206,0.9832904884318766,0.9695817490494296,0.9763880025526482,0.9822485207100592,,
2,SR,0.9765258215962441,0.9280898876404494,0.9582366589327146,0.9429223744292237,0.9893175074183976,,
3,GSVT,0.9615023474178404,0.9047619047619048,0.9166666666666666,0.9106753812636165,0.9772182254196643,,
4,macro avg,,0.9344152382265557,0.9357908721864318,0.933249053354625,0.9803711375710066,,
5,micro avg,,0.9408450704225352,0.9408450704225352,0.9408450704225352,0.9802816901408451,,
6,weighted avg,,0.9407877044013062,0.9409210367411466,0.9408450704225352,0.9806394798614909,73.0,272.36288069999864
