,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9511737089201878,0.952808988764045,0.8362919132149902,0.8907563025210085,0.9507418397626113
1,SB,0.9737089201877934,0.9768637532133676,0.9523809523809523,0.9644670050761421,0.9718934911242604
2,SR,0.9647887323943662,0.8921348314606742,0.9363207547169812,0.9136939010356733,0.9839762611275964
3,GSVT,0.9516431924882629,0.8225108225108225,0.9476309226932669,0.8806488991888761,0.987410071942446
4,macro avg,,0.9123915269554249,0.9181561357515476,0.9110795989872272,0.9735054159892286
5,micro avg,,0.9206572769953052,0.9206572769953052,0.9206572769953052,0.9735524256651017
6,weighted avg,,0.9202795596043298,0.923742020876243,0.9206572769953052,0.9733643869616089
