,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.967605633802817,0.9258426966292135,0.9196428571428571,0.9227323628219485,0.9786350148367953
1,SB,0.9859154929577465,0.9832904884318766,0.9782608695652174,0.9807692307692308,0.9874260355029586
2,SR,0.9798122065727699,0.9370786516853933,0.9652777777777778,0.95096921322691,0.9910979228486647
3,GSVT,0.964319248826291,0.9242424242424242,0.9123931623931624,0.9182795698924732,0.9754196642685852
4,macro avg,,0.9431875941776406,0.9438936667197536,0.942613565247227,0.9831446593642509
5,micro avg,,0.9488262910798122,0.9488262910798122,0.9488262910798122,0.9829420970266041
6,weighted avg,,0.9488642366997775,0.9490151549704519,0.9488262910798122,0.9837523463771914
