,Rhythm Group,ACC,F1-score,Precision,Recall,specificity,Feature,Time
0,AFIB,0.8971830985915493,0.7955056179775281,0.7344398340248963,0.7637540453074433,0.9240356083086053,,
1,SB,0.847887323943662,0.9125964010282777,0.7349896480331263,0.8142201834862386,0.8106508875739645,,
2,SR,0.855868544600939,0.6764044943820224,0.6487068965517241,0.6622662266226623,0.9032640949554896,,
3,GSVT,0.8384976525821596,0.36363636363636365,0.7706422018348624,0.4941176470588236,0.9700239808153477,,
4,macro avg,,0.6835895256187919,0.7221946451111523,0.687035719256048,0.9019936429133517,,
5,micro avg,,0.719718309859155,0.719718309859155,0.719718309859155,0.9065727699530517,,
6,weighted avg,,0.7024998482170737,0.7245816612789083,0.719718309859155,0.8882562617942522,67.0,1.8248611000017263
