,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.7107981220657277,0.44269662921348313,0.3486725663716814,0.39009900990099017,0.7816023738872404
1,SB,0.9403755868544601,0.9588688946015425,0.8870392390011891,0.9215565163681284,0.9297337278106509
2,SR,0.7924882629107981,0.09438202247191012,0.5185185185185185,0.15969581749049433,0.9768545994065282
3,GSVT,0.8990610328638498,0.9632034632034632,0.6920684292379471,0.8054298642533937,0.8812949640287769
4,macro avg,,0.5691953020032516,0.6115746882823341,0.6147877523725997,0.8923714162832991
5,micro avg,,0.6713615023474179,0.6713615023474179,0.6713615023474179,0.8904538341158059
6,weighted avg,,0.6261681996284894,0.6552827112802797,0.6713615023474179,0.8981241627857786
