,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9511737089201878,0.952808988764045,0.8362919132149902,0.8907563025210085,0.9507418397626113
1,SB,0.9751173708920188,0.9781491002570694,0.9548306148055207,0.9663492063492063,0.9733727810650887
2,SR,0.9624413145539906,0.8921348314606742,0.9254079254079254,0.908466819221968,0.9810089020771513
3,GSVT,0.9478873239436619,0.8095238095238095,0.9420654911838791,0.8707799767171129,0.9862110311750599
4,macro avg,,0.9090880762023239,0.9146489861530789,0.9081541825013995,0.9728336385199778
5,micro avg,,0.9183098591549296,0.9183098591549296,0.9183098591549296,0.9727699530516432
6,weighted avg,,0.9177344229852644,0.9211497199215234,0.9183098591549296,0.9730246949249817
