,Rhythm Group,ACC,F1-score,Precision,Recall,specificity
0,AFIB,0.9535211267605633,0.8741573033707866,0.9004629629629629,0.887115165336374,0.9744807121661722
1,SB,0.9784037558685446,0.9884318766066839,0.9540942928039702,0.970959595959596,0.9726331360946746
2,SR,0.9666666666666667,0.8741573033707866,0.9628712871287128,0.9163722025912838,0.9910979228486647
3,GSVT,0.9539906103286385,0.922077922077922,0.8729508196721312,0.8968421052631579,0.9628297362110312
4,macro avg,,0.9178222672876029,0.9225948406419444,0.9147061013565447,0.9752603768301356
5,micro avg,,0.9262910798122066,0.9262910798122066,0.9262910798122066,0.9754303599374022
6,weighted avg,,0.9259622051718085,0.9271231829956851,0.9262910798122066,0.9747504275083361
