,Rhythm Group,ACC,F1-score,Precision,Recall,specificity,Feature,Time
0,AFIB,0.9666666666666667,0.9213483146067416,0.9192825112107623,0.920314253647587,0.9786350148367953,,
1,SB,0.9863849765258216,0.9832904884318766,0.9795134443021767,0.9813983322642721,0.9881656804733728,,
2,SR,0.9802816901408451,0.9370786516853933,0.9675174013921114,0.9520547945205479,0.9916913946587537,,
3,GSVT,0.9652582159624413,0.9307359307359307,0.9110169491525424,0.9207708779443254,0.9748201438848921,,
4,macro avg,,0.943634564594183,0.9443325765143982,0.9431133463649856,0.9833280584634535,,
5,micro avg,,0.9492957746478873,0.9492957746478873,0.9492957746478873,0.9830985915492958,,
6,weighted avg,,0.9493559974397662,0.9495667846403035,0.9492957746478873,0.9840164592059264,61.0,111.85154540000076
