,Rhythm Group,ACC,F1-score,Precision,Recall,specificity,Feature,Time
0,AFIB,0.9474178403755869,0.8561797752808988,0.8881118881118881,0.8718535469107552,0.971513353115727,,
1,SB,0.9769953051643192,0.9884318766066839,0.9505562422744128,0.9691241335853812,0.9704142011834319,,
2,SR,0.9690140845070423,0.8831460674157303,0.9656019656019657,0.9225352112676057,0.9916913946587537,,
3,GSVT,0.9535211267605633,0.9177489177489178,0.8742268041237113,0.8954593453009504,0.9634292565947242,,
4,macro avg,,0.914743059266173,0.9196242250279946,0.9113766592630577,0.9742620513881591,,
5,micro avg,,0.9234741784037559,0.9234741784037559,0.9234741784037559,0.974491392801252,,
6,weighted avg,,0.9230909816187024,0.9240977487780812,0.9234741784037559,0.973574027148881,102.0,374.80440539999836
