,Rhythm Group,ACC,F1-score,Precision,Recall,specificity,Feature,Time
0,AFIB,0.9464788732394366,0.8539325842696629,0.8857808857808858,0.8695652173913042,0.970919881305638,,
1,SB,0.9708920187793427,0.9884318766066839,0.9355231143552312,0.96125,0.9607988165680473,,
2,SR,0.9633802816901409,0.8539325842696629,0.9669211195928753,0.9069212410501194,0.9922848664688427,,
3,GSVT,0.9530516431924883,0.9177489177489178,0.8724279835390947,0.8945147679324894,0.9628297362110312,,
4,macro avg,,0.9080628065934782,0.9151632758170217,0.9035114907237318,0.9717083251383898,,
5,micro avg,,0.9169014084507042,0.9169014084507042,0.9169014084507042,0.9723004694835681,,
6,weighted avg,,0.9162698576484711,0.9180052130304014,0.9169014084507042,0.969931892102855,116.0,376.6433754999998
