,Rhythm Group,ACC,F1-score,Precision,Recall,specificity,Feature,Time
0,AFIB,0.9633802816901409,0.9191011235955057,0.9068736141906873,0.9129464285714286,0.9750741839762611,,
1,SB,0.9816901408450704,0.9832904884318766,0.9671302149178256,0.9751434034416826,0.9807692307692307,,
2,SR,0.9732394366197183,0.9101123595505618,0.9597156398104265,0.9342560553633218,0.9899109792284867,,
3,GSVT,0.9624413145539906,0.9177489177489178,0.9098712446351931,0.9137931034482759,0.9748201438848921,,
4,macro avg,,0.9340347477061772,0.9358976783885331,0.9325632223317154,0.9801436344647178,,
5,micro avg,,0.9403755868544601,0.9403755868544601,0.9403755868544601,0.9801251956181534,,
6,weighted avg,,0.9403000408552565,0.940572788853532,0.9403755868544601,0.9801989510044105,102.0,299.82965799999874
