,Rhythm Group,ACC,F1-score,Precision,Recall,specificity,Feature,Time
0,AFIB,0.9230046948356807,0.755056179775281,0.8593350383631714,0.8038277511961723,0.9673590504451038,,
1,SB,0.984037558685446,0.987146529562982,0.9696969696969697,0.978343949044586,0.9822485207100592,,
2,SR,0.9671361502347418,0.9325842696629213,0.9120879120879121,0.9222222222222223,0.9762611275964391,,
3,GSVT,0.9530516431924883,0.9242424242424242,0.8678861788617886,0.8951781970649896,0.9610311750599521,,
4,macro avg,,0.8998930298819925,0.9022515247524605,0.8997573508109021,0.9717249684528886,,
5,micro avg,,0.9136150234741784,0.9136150234741784,0.9136150234741784,0.9712050078247262,,
6,weighted avg,,0.9121202617708445,0.9125215352155498,0.9136150234741784,0.9732848503373759,212.0,231.85288420000006
