,Rhythm Group,ACC,F1-score,Precision,Recall,specificity,Feature,Time
0,AFIB,0.9469483568075118,0.8651685393258427,0.8789954337899544,0.8720271800679501,0.9685459940652819,,
1,SB,0.9779342723004695,0.9832904884318766,0.9574468085106383,0.9701965757767914,0.9748520710059172,,
2,SR,0.9694835680751174,0.8831460674157303,0.9679802955665024,0.9236192714453585,0.9922848664688427,,
3,GSVT,0.9525821596244132,0.9177489177489178,0.8706365503080082,0.8935721812434142,0.9622302158273381,,
4,macro avg,,0.9148538021333785,0.9187647720437759,0.9123385032305918,0.974478286841845,,
5,micro avg,,0.9234741784037559,0.9234741784037559,0.9234741784037559,0.974491392801252,,
6,weighted avg,,0.9233361289259264,0.9244281233930515,0.9234741784037559,0.974438968963624,90.0,337.6190437000005
