,Rhythm Group,ACC,F1-score,Precision,Recall,specificity,Feature,Time
0,AFIB,0.9502347417840376,0.9483146067415731,0.8356435643564356,0.8884210526315789,0.9507418397626113,,
1,SB,0.9727699530516432,0.9730077120822622,0.9534005037783375,0.9631043256997456,0.9726331360946746,,
2,SR,0.9591549295774648,0.8966292134831461,0.9068181818181819,0.9016949152542373,0.9756676557863502,,
3,GSVT,0.9488262910798122,0.8051948051948052,0.9514066496163683,0.8722157092614303,0.9886091127098321,,
4,macro avg,,0.906359000711748,0.9118172248923307,0.9057865843754467,0.971912936088367,,
5,micro avg,,0.9154929577464789,0.9154929577464789,0.9154929577464789,0.971830985915493,,
6,weighted avg,,0.9149579477851507,0.9186342446525886,0.9154929577464789,0.9721587866069891,116.0,252.89653270000053
