,Rhythm Group,ACC,F1-score,Precision,Recall,specificity,Feature,Time
0,AFIB,0.9488262910798122,0.950561797752809,0.8294117647058824,0.8858638743455497,0.9483679525222551,,
1,SB,0.9732394366197183,0.9730077120822622,0.9546027742749055,0.9637173774665818,0.9733727810650887,,
2,SR,0.9615023474178404,0.8966292134831461,0.9172413793103448,0.9068181818181819,0.9786350148367953,,
3,GSVT,0.9492957746478873,0.8073593073593074,0.951530612244898,0.8735362997658079,0.9886091127098321,,
4,macro avg,,0.9074839333490303,0.9131966326340076,0.9068895076693811,0.9722462152834928,,
5,micro avg,,0.9164319248826291,0.9164319248826291,0.9164319248826291,0.9721439749608763,,
6,weighted avg,,0.9160044155651007,0.9199759391221787,0.9164319248826291,0.9725529362513422,81.0,180.70478179999918
