,Rhythm Group,ACC,F1-score,Precision,Recall,specificity,Feature,Time
0,AFIB,0.9657276995305164,0.9101123595505618,0.9246575342465754,0.9173272933182333,0.9804154302670623,,
1,SB,0.9863849765258216,0.980719794344473,0.9819819819819819,0.9813504823151126,0.9896449704142012,,
2,SR,0.9793427230046948,0.9438202247191011,0.9567198177676538,0.9502262443438914,0.9887240356083086,,
3,GSVT,0.9652582159624413,0.935064935064935,0.907563025210084,0.9211087420042644,0.973621103117506,,
4,macro avg,,0.9425031904953753,0.9427305898015738,0.9424293284197677,0.9831013848517696,,
5,micro avg,,0.9483568075117371,0.9483568075117371,0.9483568075117371,0.9827856025039123,,
6,weighted avg,,0.9484057456839311,0.9485863949649638,0.9483568075117371,0.984048731895341,90.0,154.11665410000205
